Región Eje Cafetero - Antioquia,5,Antioquia
Región Caribe,8,Atlántico
Región Caribe,13,Bolívar
Región Centro Oriente,15,Boyacá
Región Eje Cafetero - Antioquia,17,Caldas
Región Centro Sur,18,Caquetá
Región Pacífico,19,Cauca
Región Caribe,20,Cesar
Región Caribe,23,Córdoba
Región Centro Oriente,25,Cundinamarca
Región Pacífico,27,Chocó
Región Centro Sur,41,Huila
Región Caribe,44,La Guajira
Región Caribe,47,Magdalena
Región Llano,50,Meta
Región Pacífico,52,Nariño
Región Centro Oriente,54,Norte de Santander
Región Eje Cafetero - Antioquia,63,Quindío
Región Eje Cafetero - Antioquia,66,Risaralda
Región Centro Oriente,68,Santander
Región Caribe,70,Sucre
Región Centro Sur,73,Tolima
Región Pacífico,76,Valle del Cauca
Región Llano,81,Arauca
Región Llano,85,Casanare
Región Centro Sur,86,Putumayo
Región Caribe,88,"Archipiélago de San Andrés, Providencia y Santa Catalina"
Región Centro Sur,91,Amazonas
Región Llano,94,Guainía
Región Llano,95,Guaviare
Región Llano,97,Vaupés
Región Llano,99,Vichada
Región Centro Oriente,11,Bogotá D.C.
